id,title,source,url,license,allowed_use,last_checked,class_tags,topic_tags,citation_note
pmc_acne_review_ccby_overview,Exploring Acne Treatments: From Pathophysiological Mechanisms to Emerging Therapies,PMC Open Access article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,CC BY 4.0,cc_by,2026-05-24,all_acne_classes,acne_vulgaris;management;commercial_allowed,CC BY open access review used as general acne management background.
pmc_topical_review_ccby_mild_moderate,Efficacy of Topical Treatments in the Management of Mild-to-Moderate Acne Vulgaris: A Systematic Review,PMC Open Access article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,CC BY 4.0,cc_by,2026-05-24,Blackheads;Whiteheads;Papules;Pustules;all_acne_classes,comedonal_acne;inflammatory_acne;mild_moderate;management,CC BY systematic review used for mild-to-moderate acne management context.
comedonal_acne_evidence_card,Comedonal acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Blackheads;Whiteheads,comedonal_acne;blackheads;whiteheads;management,Project-authored summary for comedonal classes.
inflammatory_acne_evidence_card,Inflammatory acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Papules;Pustules,inflammatory_acne;papules;pustules;management,Project-authored summary for inflammatory acne classes.
deep_inflammatory_acne_evidence_card,Deep inflammatory acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Cyst,deep_inflammatory_acne;cyst;scar_risk;referral,Project-authored summary for cyst-like acne class.
red_flags_safety_card,Acne red-flag and safety card,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,all_acne_classes,safety;red_flags;referral,Project-authored safety rule for conservative triage.
pmc_acne_scars_interventions_ccby,From the Cochrane Library: Interventions for Acne Scars,PMC Open Access article / JMIR Dermatology,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,CC BY 4.0,cc_by,2026-05-25,Cyst;Papules;Pustules;all_acne_classes,acne_scars;scar_risk;referral;management,CC BY open access article used for acne scar risk and referral context.
kdca_korean_acne_citation_only,여드름,국가건강정보포털 / 질병관리청,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=3947,"KOGL Type 4: attribution, non-commercial, no-derivatives",citation_only,2026-05-25,all_acne_classes,korean_source;public_health;acne_vulgaris;management;citation_only,Domestic public-health source; citation-only because KOGL Type 4 restricts commercial use and derivatives.
kdca_healthinfo_copyright_policy,국가건강정보포털 건강정보 저작권,국가건강정보포털 / 질병관리청,https://health.kdca.go.kr/healthinfo/biz/health/portalUseGuidance/hlthinsReqst/hlthinsReqstMth.do,"KOGL Type 4 policy: attribution, non-commercial, no-derivatives",citation_only,2026-05-25,license_policy,korean_source;licensing;kogl_type_4;citation_only,Domestic source licensing policy; used to keep KDCA content citation-only in commercial-facing builds.
ann_dermatol_acne_grading_korea_citation_only,A Comprehensive Review of the Acne Grading Scale in 2023,Annals of Dermatology / Korean Dermatological Association,https://anndermatol.org/search.php?code=0140AD&id=10.5021%2Fad.23.094&vmode=FULL&where=aview,CC BY-NC 4.0,citation_only,2026-05-25,all_acne_classes,korean_source;grading;severity;clinical_assessment;citation_only,Korean dermatology academic source; citation-only because license is non-commercial.
blackheads_open_comedone_card,Blackheads as open comedones,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads,comedonal_acne;open_comedone;blackheads;classification,Project-authored blackhead class card grounded in CC BY acne review.
whiteheads_closed_comedone_card,Whiteheads as closed comedones,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Whiteheads,comedonal_acne;closed_comedone;whiteheads;classification,Project-authored whitehead class card grounded in CC BY acne review.
comedonal_irritation_avoidance_card,Comedonal acne irritation avoidance,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads;Whiteheads,comedonal_acne;management;irritation;self_care,Project-authored care card grounded in CC BY mild-to-moderate acne review.
comedonal_persistent_referral_card,Persistent comedonal acne referral trigger,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads;Whiteheads,comedonal_acne;persistent;referral;management,Project-authored referral card grounded in CC BY acne management review.
papules_inflammation_card,Papules as inflammatory acne lesions,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Papules,inflammatory_acne;papules;classification;redness,Project-authored papule card grounded in CC BY acne review.
pustules_pus_card,Pustules with visible pus,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Pustules,inflammatory_acne;pustules;pus;management,Project-authored pustule card grounded in CC BY acne review.
papulopustular_progression_card,Papulopustular acne symptom progression,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Papules;Pustules,inflammatory_acne;progression;symptoms;referral,Project-authored progression card grounded in CC BY acne review.
pain_swelling_symptom_card,Pain and swelling symptom card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Papules;Pustules;Cyst;all_acne_classes,pain;swelling;red_flags;referral,Project-authored symptom safety card grounded in CC BY acne review.
acne_multifactor_pathogenesis_card,Multifactorial acne pathogenesis,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,acne_vulgaris;pathogenesis;sebum;inflammation,Project-authored pathogenesis card grounded in CC BY acne review.
acne_distribution_context_card,Common acne distribution context,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,acne_vulgaris;location;face;back;chest,Project-authored distribution card grounded in CC BY acne review.
acne_treatment_scope_card,Treatment scope limitation card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,safety;scope;treatment_decision;medical_disclaimer,Project-authored treatment scope card grounded in CC BY acne review.
no_medication_dose_policy_card,No medication dose policy,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,safety;medication;dosage;medical_disclaimer,Project-authored medication safety policy.
acne_scarring_risk_card,Acne scarring risk context,Project-authored evidence card grounded in CC BY acne scar reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Papules;Pustules;Cyst;all_acne_classes,acne_scars;scar_risk;referral;inflammation,Project-authored scar risk card grounded in CC BY acne scar review.
cyst_depth_referral_card,Cyst-like lesion depth and referral,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Cyst,deep_inflammatory_acne;cyst;pain;referral,Project-authored cyst referral card grounded in CC BY acne review.
recurrent_deep_lesions_card,Recurrent deep lesion safety card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Cyst;Papules;Pustules,recurrent;deep_lesion;scar_risk;referral,Project-authored recurrence and scar risk card.
psychosocial_impact_card,Psychosocial impact of acne,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,quality_of_life;psychosocial;distress;referral,Project-authored psychosocial impact card grounded in CC BY acne review.
self_manipulation_harm_card,Avoid self-manipulation of acne lesions,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,self_care;picking;squeezing;scar_risk,Project-authored self-care safety card.
photo_monitoring_card,Photo monitoring and follow-up card,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,follow_up;monitoring;symptom_tracking;referral,Project-authored monitoring card.
gentle_cleansing_card,Gentle cleansing guidance,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads;Whiteheads;Papules;Pustules;all_acne_classes,self_care;cleansing;irritation;management,Project-authored cleansing guidance grounded in CC BY acne review.
product_change_caution_card,Caution with rapid product changes,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,self_care;cosmetics;irritation;management,Project-authored product change safety card.
red_flag_fever_spreading_card,Fever and spreading inflammation red flag,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,red_flags;fever;spreading;infection;referral,Project-authored red-flag policy card.
red_flag_bleeding_rapid_worsening_card,Bleeding and rapid worsening red flag,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,all_acne_classes,red_flags;bleeding;rapid_worsening;referral,Project-authored red-flag policy card.
blackheads_beneficial_management_card,Beneficial management for blackheads,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Blackheads,beneficial_management;blackheads;comedonal_acne;noncomedogenic;cleansing,Class-specific management card for blackheads.
whiteheads_beneficial_management_card,Beneficial management for whiteheads,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Whiteheads,beneficial_management;whiteheads;comedonal_acne;noncomedogenic;cleansing,Class-specific management card for whiteheads.
papules_beneficial_management_card,Beneficial management for papules,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Papules,beneficial_management;papules;inflammatory_acne;irritation;referral,Class-specific management card for papules.
pustules_beneficial_management_card,Beneficial management for pustules,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Pustules,beneficial_management;pustules;pus;inflammatory_acne;referral,Class-specific management card for pustules.
cyst_beneficial_management_card,Beneficial management for cyst-like lesions,Project-authored management card grounded in CC BY acne reviews and acne scar evidence,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Cyst,beneficial_management;cyst;deep_inflammatory_acne;scar_risk;referral,Class-specific management card for cyst-like lesions.
noncomedogenic_product_benefit_card,Non-comedogenic product selection benefit,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,Blackheads;Whiteheads;Papules;Pustules;all_acne_classes,beneficial_management;noncomedogenic;cosmetics;moisturizer;sunscreen,Product-selection management card.
skin_barrier_support_card,Skin barrier support during acne care,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_management;skin_barrier;moisturizer;irritation;self_care,Skin-barrier support management card.
sweat_hair_makeup_management_card,"Sweat, hair, and makeup management",Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_management;sweat;hair;makeup;cleansing,"Sweat, hair, and makeup management card."
selfcare_timeline_referral_card,When self-care is not enough,Project-authored management card grounded in CC BY acne reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_management;persistent;follow_up;referral,Self-care limitation and referral card.
comedonal_ingredient_options_card,Ingredient options for comedonal acne,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Blackheads;Whiteheads,beneficial_ingredients;active_ingredients;comedonal_acne;salicylic_acid;adapalene;retinoid,Ingredient options for comedonal acne; no dosing or product recommendation.
blackheads_ingredient_options_card,Ingredient options for blackheads,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Blackheads,beneficial_ingredients;blackheads;salicylic_acid;noncomedogenic;retinoid,Blackhead ingredient card; no dosing or brand advice.
whiteheads_ingredient_options_card,Ingredient options for whiteheads,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Whiteheads,beneficial_ingredients;whiteheads;salicylic_acid;adapalene;noncomedogenic,Whitehead ingredient card; no dosing or brand advice.
inflammatory_ingredient_options_card,Ingredient options for inflammatory acne,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Papules;Pustules,beneficial_ingredients;active_ingredients;inflammatory_acne;benzoyl_peroxide;azelaic_acid;adapalene,Ingredient options for inflammatory acne; no dosing or product recommendation.
papules_ingredient_options_card,Ingredient options for papules,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Papules,beneficial_ingredients;papules;benzoyl_peroxide;azelaic_acid;adapalene;irritation,Papule ingredient card; no dosing or brand advice.
pustules_ingredient_options_card,Ingredient options for pustules,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Pustules,beneficial_ingredients;pustules;pus;benzoyl_peroxide;azelaic_acid;adapalene,Pustule ingredient card; no dosing or brand advice.
cyst_ingredient_limitations_card,Ingredient limitations for cyst-like lesions,Project-authored ingredient safety card grounded in CC BY acne reviews and acne scar evidence,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,Cyst,beneficial_ingredients;ingredient_safety;cyst;deep_inflammatory_acne;scar_risk,Ingredient limitation card for cyst-like lesions.
ingredient_combination_safety_card,Safety when combining acne active ingredients,Project-authored ingredient safety card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_ingredients;ingredient_safety;irritation;skin_barrier;active_ingredients,General safety card for active ingredient combinations.
pregnancy_retinoid_caution_card,Retinoid caution for pregnancy and special situations,Project-authored ingredient safety card grounded in acne treatment reviews and official patient guidance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_ingredients;ingredient_safety;retinoid;pregnancy;referral,Retinoid special-situation caution card.
niacinamide_supportive_ingredient_card,Supportive ingredient context for niacinamide,Project-authored ingredient card grounded in CC BY acne treatment reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0; official patient guidance kept citation-only,cc_by,2026-05-25,all_acne_classes,beneficial_ingredients;niacinamide;nicotinamide;skin_barrier;supportive_care,Supportive ingredient card; avoids overclaiming.
aad_acne_skin_care_tips_citation_only,Acne: Tips for managing,American Academy of Dermatology,https://www.aad.org/public/diseases/acne/skin-care/tips,Copyrighted patient guidance; reuse terms not cleared for source-text RAG,citation_only,2026-05-25,all_acne_classes,official_patient_guidance;beneficial_management;citation_only,Official dermatology patient guidance; citation-only.
nhs_acne_self_help_citation_only,Acne,NHS,https://www.nhs.uk/conditions/acne/,NHS website content; reuse terms must be checked before source-text RAG,citation_only,2026-05-25,all_acne_classes,official_patient_guidance;self_help;beneficial_management;citation_only,Official health-service patient guidance; citation-only.
mayo_acne_selfcare_citation_only,Acne - Diagnosis and treatment,Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/acne/diagnosis-treatment/drc-20368048,Copyrighted patient guidance; reuse terms not cleared for source-text RAG,citation_only,2026-05-25,all_acne_classes,patient_guidance;self_care;beneficial_management;citation_only,Clinical patient guidance; citation-only.
niams_acne_types_public_domain,Acne,NIAMS,https://www.niams.nih.gov/health-topics/acne/basics/more-info,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,blackhead;whitehead;papule;pustule;cystnnodule;complexacne;all_acne_classes,acne_vulgaris;classification;comedonal_acne;inflammatory_acne;deep_inflammatory_acne;complex_acne;hierarchical_14node,Public-domain NIAMS source used for acne lesion taxonomy.
niams_acne_worsening_factors_public_domain,Acne,NIAMS,https://www.niams.nih.gov/health-topics/acne/basics/more-info,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,blackhead;whitehead;papule;pustule;cystnnodule;complexacne;all_acne_classes,acne_vulgaris;beneficial_management;self_care;irritation;safety,Public-domain NIAMS source used for conservative acne care framing.
complex_acne_triage_public_domain,Acne,NIAMS,https://www.niams.nih.gov/health-topics/acne/basics/more-info,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,complexacne;all_acne_classes,complex_acne;triage;mixed_lesions;referral;hierarchical_14node,Public-domain NIAMS acne taxonomy adapted to project mixed-acne class.
complex_acne_ingredient_safety_card,Acne,NIAMS,https://www.niams.nih.gov/health-topics/acne/basics/more-info,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,complexacne;all_acne_classes,complex_acne;beneficial_ingredients;ingredient_safety;self_care,Public-domain NIAMS source supports conservative acne self-care boundaries.
milia_ccby_definition_card,Milia En Plaque Associated With Prayer-Related Frictional Changes,Cureus via PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC12145066/,Creative Commons Attribution License CC-BY 4.0,cc_by,2026-06-03,milia,milia;classification;keratinous_cyst;hierarchical_14node,CC BY PMC article used for milia description with conservative wording.
milia_ingredient_safety_card,Milia En Plaque Associated With Prayer-Related Frictional Changes,Cureus via PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC12145066/,Creative Commons Attribution License CC-BY 4.0,cc_by,2026-06-03,milia,milia;beneficial_ingredients;ingredient_safety;self_care,CC BY PMC article used with project safety policy for non-procedural care.
milia_statpearls_citation_only,Milia,"StatPearls, NCBI Bookshelf",https://www.ncbi.nlm.nih.gov/books/NBK560481/,NCBI Bookshelf/StatPearls reuse terms not cleared for source-text RAG,citation_only,2026-06-03,milia,milia;clinical_reference;citation_only,Clinical reference retained as citation-only.
niams_rosacea_overview_public_domain,Rosacea,NIAMS,https://www.niams.nih.gov/health-topics/rosacea,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,rosacea,rosacea;classification;redness;flushing;ocular_symptoms;hierarchical_14node,Public-domain NIAMS rosacea overview.
niams_rosacea_management_public_domain,"Rosacea: Diagnosis, Treatment, and Steps to Take",NIAMS,https://www.niams.nih.gov/health-topics/rosacea/diagnosis-treatment-and-steps-to-take,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,rosacea,rosacea;beneficial_management;triggers;sun_protection;self_care;referral,Public-domain NIAMS rosacea management page.
niams_rosacea_ingredient_safety_card,"Rosacea: Diagnosis, Treatment, and Steps to Take",NIAMS,https://www.niams.nih.gov/health-topics/rosacea/diagnosis-treatment-and-steps-to-take,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,rosacea,rosacea;beneficial_ingredients;ingredient_safety;sensitive_skin;sun_protection,Public-domain NIAMS rosacea self-care page.
seborrheic_ccby_overview_card,Seborrheic Dermatitis and Dandruff: A Comprehensive Review,Journal of Clinical & Investigative Dermatology via PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC4852869/,Creative Commons Attribution License,cc_by,2026-06-03,seborrheic;sebdermatitis,seborrheic_condition;seborrheic_dermatitis;dandruff;malassezia;classification;hierarchical_14node,CC BY PMC review used for seborrheic spectrum framing.
seborrheic_management_ccby_card,Seborrheic Dermatitis and Dandruff: A Comprehensive Review,Journal of Clinical & Investigative Dermatology via PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC4852869/,Creative Commons Attribution License,cc_by,2026-06-03,seborrheic;sebdermatitis,seborrheic_condition;seborrheic_dermatitis;beneficial_management;self_care;referral,CC BY PMC review used for management framing without dose guidance.
seborrheic_ingredient_safety_ccby_card,Seborrheic Dermatitis and Dandruff: A Comprehensive Review,Journal of Clinical & Investigative Dermatology via PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC4852869/,Creative Commons Attribution License,cc_by,2026-06-03,seborrheic;sebdermatitis,seborrheic_condition;seborrheic_dermatitis;beneficial_ingredients;ingredient_safety,CC BY PMC review supports conservative ingredient-safety boundaries.
niams_atopic_overview_public_domain,Atopic Dermatitis,NIAMS,https://www.niams.nih.gov/health-topics/atopic-dermatitis/basics/diagnosis-treatment-and-steps-to-take,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,atopic,atopic_dermatitis;eczema;itch;skin_barrier;classification;hierarchical_14node,Public-domain NIAMS atopic dermatitis page.
niams_atopic_management_public_domain,Atopic Dermatitis,NIAMS,https://www.niams.nih.gov/health-topics/atopic-dermatitis/basics/diagnosis-treatment-and-steps-to-take,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,atopic,atopic_dermatitis;beneficial_management;moisturizer;trigger_avoidance;referral,Public-domain NIAMS atopic dermatitis management page.
niams_atopic_ingredient_safety_public_domain,Atopic Dermatitis,NIAMS,https://www.niams.nih.gov/health-topics/atopic-dermatitis/basics/diagnosis-treatment-and-steps-to-take,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,atopic,atopic_dermatitis;beneficial_ingredients;ingredient_safety;moisturizer;skin_barrier,Public-domain NIAMS source supports barrier-focused ingredient guidance.
niams_psoriasis_overview_public_domain,Psoriasis,NIAMS,https://www.niams.nih.gov/health-topics/psoriasis,NIAMS website text is public domain; images may have separate restrictions,public_domain,2026-06-03,psoriasis,psoriasis;classification;scaly_plaque;inflammation;hierarchical_14node,Public-domain NIAMS psoriasis page.
